Contract,Type,AccessControl,ACOwner,ACType
LensGlobalFeed,Primitive,0x873aa7B4E8000dE3cdF27D33D9662eB0542bddB6,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,OwnerAdminOnlyAccessControl
LensGlobalGraph,Primitive,0x46946a7A6535041Ae43d3AEEEca7fF89D8EDE7E8,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,OwnerAdminOnlyAccessControl
LensGlobalNamespace,Primitive,0x69ED620464Ea22c6a00bd09C97AA002075038aB9,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,OwnerAdminOnlyAccessControl
