Contract,Type,Address,ProxyType,ProxyAdmin,ProxyAdminOwner,Implementation,ImplBytecodeHash,Beacon,BeaconOwner,BeaconVersion,AutoUpgrade
UsernameLengthNamespaceRule,Rule,0xb541055222C87EE86A72558e8B582a9C0158A0d8,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xbe2d90D7b7b7c237f16c16424A6FAe9400A4767B,0x0100020b2e44c64e5badde1714869539df5bab6bc570e66dc11b9bf58e02ee0e,-,-,-,-
UsernameReservedNamespaceRule,Rule,0x0E8B9960f2a891A561f2d52F0Cd98cCA19CDF8c9,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x5B00ec39877EdD2711480A713712f6e02be9e214,0x010002a9f9cd83b054ec0688b20e3aa29961b036af6ddc1ec73391c7198adf12,-,-,-,-
UsernameSimpleCharsetNamespaceRule,Rule,0x5DBE2054903512ff26E336C0cBdEd6E0DDBEAc4F,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x1F8D82763f04e544278522b923eA924258dF9c2C,0x010001599f9b7baa17ff00d9e593dcb798099a536250e67dca35bf528c28d7ed,-,-,-,-
SimplePaymentFeedRule,Rule,0xD79dfb3f8290c0Da1899B91C3BbFE9aB56198004,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xd9d34b26259ca6EE44bfd1040498095B86E8a796,0x010003334e2a747339505d6b451bb6a6df098bfe24cb91818187bb4fdf21be59,-,-,-,-
TokenGatedFeedRule,Rule,0xe320D45b21243771dC5a47909DB2389Abab81d5B,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xEfE523C811220ce8929491a6e9620Fc58b197fC8,0x010002256bc9d9acc49b146c2f668b85302755e1c3773b58e50fda55713f5a8d,-,-,-,-
TokenGatedGraphRule,Rule,0x24779f9c251Cc5C2Ac0aE5C9f274666224e78035,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x84204cfeA1306f3Ca7dde38dc1a387E68F55A08E,0x0100021f8e7da4dfe40a92f267180296095caee7eebedb90ffd19f23c5666d0c,-,-,-,-
FollowersOnlyPostRule,Rule,0x4f573ed906Cf23cb43f86ad461d10e43E29802ce,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x71ee189620688D9199d92145E8f58fC516673F47,0x010002b547bbdf274ea30edc7a2ad6e06964625d657e14e4f5450285b197d69a,-,-,-,-
GroupGatedGraphRule,Rule,0x754839C5917a063EB923e83f1194E6737BbB451C,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xea1Bb2580F3Ef742B1c3f0247CfBEAA35572db66,0x010001d5d19bbfd1e792b80bb6506d59e513029ffa576e16f801d5f842f4d464,-,-,-,-
SimplePaymentFollowRule,Rule,0x10E044f026bD51f855a10F2277e35Ed4c896db7e,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x8F7F84D11Ea2454914900ccDaf834912597e4e36,0x010002c7d27f6670806f244caa5cd804e13157f7a34e9fdb240084d59af83ab3,-,-,-,-
TokenGatedFollowRule,Rule,0x8b39e5E2B7a4Ce8FcD8F4601Ca1a43486A9d7Ca4,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xFB18116CC5fbDF492ecaa353F9BF915940A16E89,0x0100019d1cb95e3f008697097c6a9dc1a55925c8876522aaef20b604dc02aff6,-,-,-,-
MembershipApprovalGroupRule,Rule,0x353064B2EE992483398dAb32267E1aD597e502B9,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xB07A14a7D743E054666AB72720562F6b8ba0235c,0x010002a32b8ca7bbc92be9a6530d14546a6f1996942d167e06fa28e27a8436dd,-,-,-,-
SimplePaymentGroupRule,Rule,0x6d2251D69fba6D7e761c72d55Cf478d741cB4Ac1,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x6B32CB6Bd0F966A3a1b8ea88819657aaC614a900,0x0100032f90907a81767064af305c44ddb87aa6c5916f2a23e6b58da2fb026a0d,-,-,-,-
TokenGatedGroupRule,Rule,0x0740653858863E8f4f0c734553c2bEf0Dc54Bfa9,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x352E52D5Ba3d1141159490Ed2da9D09048Fcd09e,0x0100025de19d0db556b0c64e7dfec465cf0ea1b3b9ded0302bd845455ca6626e,-,-,-,-
TokenGatedNamespaceRule,Rule,0xd108e4215963f9CB13f47A4B08110D0fF51D52D8,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x676f6A3ebED48a0E21118B0D98C5F20067983Eab,0x01000245e1021cc33b60fe869738ce5f4c1ad913bed5224c1bfaf559c8b4fe90,-,-,-,-
UsernamePricePerLengthNamespaceRule,Rule,0xad917a20bca258020FF81590f62Ff05366eBb180,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xFDD1eD00eFAB19fD43217cD56217466720e33717,0x010003a1de222c705607b2ddf722662d227ce4f21298a493f65f29e66b0a420e,-,-,-,-
LensNativePaymentHelper,Aux,0x1cCf0A481e3824E271C4b89a79E00c838D4A465B,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xf14155b9F77E2302A8a849038B94891F98909C7b,0x0100004de0da6148331eb239c0d9d93abcec5e55e16f5e90c088dc3a24a9cf2d,-,-,-,-
TokenDistributor,Misc,0x2a705184A6Bb7Dd185E4534d79E441B3edA1082c,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xC76589dcaaf4e4A2B83EF0f1cb6514e8fB5Db958,0x01000257dc2971b2e7eba280f6a411cb4aceeef8841141a457f62f5c83e00b0d,-,-,-,-
